player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
AA Bilakhia,7.0,0.008609932617918642,88.0,0.26136363636363635,0.0,0.0,0.0,0.0,0.26136363636363635,0.08142256732536243
AA Chavan,3.0,0.0014973795857249814,11.0,0.36363636363636365,0.03755868544600939,255.0,339.0,0.22156862745098038,0.3636363636363636,0.09684780056231715
AA Jhunjhunwala,15.0,0.027077614175193415,218.0,0.3318042813455658,0.004694835680751174,88.0,130.0,0.2462121212121212,0.3318042813455657,0.0855709461639631
AA Kazi,0.0,0.0,0.0,0.0,0.004694835680751174,13.0,21.0,0.2692307692307693,0.0,-0.025749368002889135
AA Kulkarni,2.0,0.001123034689293736,8.0,0.375,0.0,0.0,0.0,0.0,0.375,0.1128930621412528
AA Noffke,1.0,0.001123034689293736,12.0,0.25,0.004694835680751174,25.0,41.0,0.2733333333333333,0.25,0.04923343772810726
AB Agarkar,18.0,0.022335912153730972,160.0,0.3729166666666666,0.15492957746478875,820.0,1174.0,0.23861788617886176,0.3729166666666666,0.1345631750021168
AB Barath,3.0,0.005240828550037435,43.0,0.3255813953488372,0.0,0.0,0.0,0.0,0.3255813953488372,0.09950870859716426
AB Dinda,16.0,0.0032443224357374596,50.0,0.17333333333333334,0.38497652582159625,1589.0,2103.0,0.22057898049087477,0.17333333333333334,0.1273217462588197
AB McDonald,9.0,0.01534814075368106,103.0,0.39805825242718446,0.06572769953051644,188.0,263.0,0.23315602836879434,0.3980582524271844,0.11790564703769339
AB de Villiers,170.0,0.6464936361367607,3487.0,0.49526813880126186,0.0,0.0,0.0,0.0,0.4911111111111111,0.37464536290373723
AC Blizzard,7.0,0.014973795857249814,91.0,0.43956043956043955,0.0,0.0,0.0,0.0,0.43956043956043955,0.1371089604181693
AC Gilchrist,80.0,0.2581731969054155,1555.0,0.4435155412647374,0.004694835680751174,1.0,0.0,0.0,0.41,0.22291321315326756
AC Thomas,4.0,0.0024956326428749688,19.0,0.3508771929824561,0.07511737089201878,327.0,416.0,0.21202854230377166,0.3508771929824561,0.1037131178123706
AC Voges,7.0,0.022585475418018468,143.0,0.421911421911422,0.004694835680751174,56.0,76.0,0.22619047619047616,0.42191142191142195,0.11303300427087323
AD Hales,6.0,0.01846768155727477,119.0,0.41456582633053224,0.0,0.0,0.0,0.0,0.4145658263305322,0.13083343644420584
AD Mascarenhas,11.0,0.009857748939356127,79.0,0.33333333333333337,0.0892018779342723,310.0,365.0,0.19623655913978494,0.3333333333333333,0.10612702569836423
AD Mathews,41.0,0.09034190167207387,599.0,0.40289371174179195,0.13145539906103287,807.0,1095.0,0.22614622057001238,0.41333333333333333,0.16325898789559748
AD Nath,10.0,0.01123034689293736,99.0,0.30303030303030304,0.0,0.0,0.0,0.0,0.303030303030303,0.09483971232161899
AD Russell,104.0,0.3104567007736461,1515.0,0.5474147414741475,0.5868544600938967,1771.0,2691.0,0.2532467532467532,0.4911111111111111,0.39145802589366746
AF Milne,6.0,0.0028699775393062144,31.0,0.24731182795698925,0.04225352112676056,217.0,339.0,0.26036866359447003,0.24731182795698925,0.05972455444809708
