player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form
R Ashwin,89.0,800.0,698.0,114.61318051575931,198.0,4679.0,5435.0,6.969437914084207,1.2333333333333334
R Bhatia,47.0,342.0,290.0,117.9310344827586,82.0,1661.0,2059.0,7.437688139674895,1.1793103448275861
R Bishnoi,3.0,19.0,17.0,111.76470588235294,0.0,0.0,0.0,0.0,1.1176470588235294
R Dhawan,22.0,210.0,188.0,111.70212765957446,27.0,693.0,922.0,7.982683982683984,1.1170212765957446
R Dravid,82.0,2174.0,1918.0,113.34723670490095,0.0,0.0,0.0,0.0,1.0833333333333333
R Goyal,0.0,0.0,0.0,0.0,0.0,24.0,34.0,8.5,0.0
R McLaren,13.0,159.0,178.0,89.32584269662921,14.0,372.0,558.0,9.0,0.8932584269662921
R Ninan,1.0,3.0,6.0,50.0,3.0,36.0,65.0,10.833333333333334,0.5
R Parag,58.0,1173.0,909.0,129.04290429042905,5.0,181.0,307.0,10.176795580110497,1.3366666666666667
R Powell,22.0,360.0,254.0,141.73228346456693,1.0,21.0,35.0,10.0,1.4173228346456692
R Rampaul,7.0,51.0,52.0,98.07692307692307,17.0,278.0,319.0,6.884892086330935,0.9807692307692307
R Ravindra,10.0,222.0,146.0,152.05479452054794,0.0,12.0,7.0,3.5,1.5205479452054795
R Sai Kishore,1.0,13.0,6.0,216.66666666666666,13.0,191.0,259.0,8.136125654450261,2.1666666666666665
R Sanjay Yadav,1.0,0.0,2.0,0.0,0.0,14.0,23.0,9.857142857142858,0.0
R Sathish,24.0,270.0,236.0,114.40677966101696,6.0,144.0,233.0,9.708333333333334,1.1440677966101696
R Sharma,19.0,66.0,77.0,85.71428571428571,42.0,935.0,1100.0,7.0588235294117645,0.8571428571428571
R Shepherd,9.0,115.0,68.0,169.11764705882354,6.0,133.0,260.0,11.729323308270676,1.6911764705882353
R Shukla,4.0,19.0,23.0,82.6086956521739,7.0,130.0,217.0,10.015384615384615,0.8260869565217391
R Tewatia,65.0,1013.0,788.0,128.55329949238578,36.0,866.0,1117.0,7.7390300230946885,1.3633333333333333
R Vinay Kumar,42.0,310.0,289.0,107.26643598615917,127.0,2186.0,3041.0,8.346752058554436,1.0726643598615917
RA Bawa,2.0,11.0,14.0,78.57142857142857,0.0,0.0,0.0,0.0,0.7857142857142857
RA Jadeja,180.0,2959.0,2378.0,124.4322960470984,169.0,3895.0,4917.0,7.574326059050064,1.4166666666666667
RA Shaikh,0.0,0.0,0.0,0.0,0.0,6.0,11.0,11.0,0.0
RA Tripathi,93.0,2236.0,1650.0,135.51515151515153,0.0,6.0,12.0,12.0,1.3566666666666667
RD Chahar,22.0,129.0,127.0,101.5748031496063,76.0,1697.0,2165.0,7.65468473777254,1.015748031496063
RD Gaikwad,65.0,2380.0,1781.0,133.63279056709715,0.0,0.0,0.0,0.0,1.4633333333333334
RE Levi,6.0,83.0,74.0,112.16216216216218,0.0,0.0,0.0,0.0,1.1216216216216217
RE van der Merwe,15.0,159.0,144.0,110.41666666666667,25.0,455.0,515.0,6.791208791208791,1.1041666666666667
RG More,1.0,2.0,2.0,100.0,1.0,37.0,63.0,10.216216216216216,1.0
RG Sharma,251.0,6630.0,5183.0,127.91819409608335,16.0,349.0,462.0,7.9426934097421205,1.4166666666666667
RJ Gleeson,1.0,2.0,2.0,100.0,1.0,51.0,72.0,8.470588235294118,1.0
RJ Harris,21.0,117.0,112.0,104.46428571428572,47.0,865.0,1085.0,7.526011560693642,1.0446428571428572
RJ Peterson,5.0,32.0,32.0,100.0,3.0,48.0,70.0,8.75,1.0
RJ Quiney,7.0,103.0,105.0,98.09523809523809,0.0,0.0,0.0,0.0,0.9809523809523809
RJW Topley,1.0,3.0,6.0,50.0,5.0,107.0,182.0,10.205607476635514,0.5
RK Bhui,4.0,10.0,27.0,37.03703703703704,0.0,0.0,0.0,0.0,0.37037037037037035
RK Singh,40.0,893.0,654.0,136.54434250764527,0.0,0.0,0.0,0.0,1.4066666666666667
RM Patidar,24.0,799.0,534.0,149.625468164794,0.0,0.0,0.0,0.0,1.6
RN ten Doeschate,21.0,326.0,238.0,136.9747899159664,3.0,83.0,94.0,6.795180722891567,1.3697478991596639
RP Meredith,2.0,0.0,3.0,0.0,21.0,415.0,621.0,8.978313253012049,0.0
RP Singh,28.0,52.0,78.0,66.66666666666666,100.0,1874.0,2417.0,7.7385272145144075,0.6666666666666666
RR Bhatkal,1.0,0.0,2.0,0.0,0.0,12.0,35.0,17.5,0.0
RR Bose,0.0,0.0,0.0,0.0,0.0,12.0,24.0,12.0,0.0
RR Pant,110.0,3297.0,2296.0,143.59756097560975,0.0,0.0,0.0,0.0,1.49
RR Powar,9.0,67.0,64.0,104.6875,15.0,443.0,538.0,7.28668171557562,1.046875
RR Raje,5.0,20.0,18.0,111.11111111111111,7.0,144.0,214.0,8.916666666666668,1.1111111111111112
RR Rossouw,22.0,473.0,321.0,147.35202492211837,0.0,0.0,0.0,0.0,1.53
RR Sarwan,4.0,73.0,78.0,93.58974358974359,0.0,0.0,0.0,0.0,0.9358974358974359
RS Bopara,22.0,531.0,468.0,113.46153846153845,13.0,213.0,301.0,8.47887323943662,1.1566666666666667
RS Gavaskar,1.0,2.0,8.0,25.0,0.0,6.0,8.0,8.0,0.25
RS Hangargekar,0.0,0.0,0.0,0.0,3.0,43.0,60.0,8.372093023255815,0.0
RS Sodhi,1.0,4.0,2.0,200.0,0.0,0.0,0.0,0.0,2.0
RT Ponting,9.0,91.0,129.0,70.54263565891473,0.0,0.0,0.0,0.0,0.7054263565891473
RV Gomez,9.0,50.0,53.0,94.33962264150944,6.0,97.0,130.0,8.041237113402062,0.9433962264150944
RV Patel,7.0,80.0,76.0,105.26315789473684,0.0,20.0,22.0,6.6000000000000005,1.0526315789473684
RV Uthappa,197.0,4954.0,3927.0,126.15227909345556,0.0,0.0,0.0,0.0,1.27
RW Price,0.0,0.0,0.0,0.0,0.0,18.0,33.0,11.0,0.0
Rahmanullah Gurbaz,13.0,289.0,228.0,126.75438596491229,0.0,0.0,0.0,0.0,1.2675438596491229
Ramandeep Singh,13.0,170.0,106.0,160.37735849056605,6.0,45.0,64.0,8.533333333333333,1.6037735849056605
Rashid Khan,58.0,545.0,355.0,153.52112676056336,157.0,2901.0,3340.0,6.907962771458117,1.5066666666666666
Rasikh Salam,6.0,40.0,40.0,100.0,9.0,207.0,341.0,9.884057971014492,1.0
Ravi Bishnoi,14.0,32.0,52.0,61.53846153846154,68.0,1460.0,1861.0,7.647945205479452,0.6153846153846154
S Anirudha,12.0,136.0,121.0,112.39669421487604,0.0,0.0,0.0,0.0,1.1239669421487604
S Aravind,10.0,59.0,59.0,100.0,48.0,788.0,1057.0,8.048223350253807,1.0
S Badree,5.0,13.0,25.0,52.0,11.0,263.0,329.0,7.505703422053232,0.52
S Badrinath,65.0,1441.0,1245.0,115.74297188755021,0.0,0.0,0.0,0.0,1.0466666666666666
S Chanderpaul,3.0,25.0,33.0,75.75757575757575,0.0,0.0,0.0,0.0,0.7575757575757576
S Dhawan,221.0,6769.0,5483.0,123.45431333211745,4.0,49.0,72.0,8.816326530612246,1.27
S Dube,61.0,1502.0,1077.0,139.46146703806872,6.0,117.0,190.0,9.743589743589745,1.52
S Gopal,22.0,180.0,173.0,104.04624277456647,53.0,1000.0,1358.0,8.148,1.0404624277456647
S Joseph,0.0,0.0,0.0,0.0,0.0,30.0,51.0,10.2,0.0
S Kaul,9.0,20.0,36.0,55.55555555555556,63.0,1238.0,1772.0,8.588045234248789,0.5555555555555556
S Kaushik,1.0,0.0,1.0,0.0,6.0,210.0,304.0,8.685714285714285,0.0
S Ladda,2.0,0.0,10.0,0.0,5.0,141.0,225.0,9.574468085106382,0.0
S Lamichhane,1.0,0.0,1.0,0.0,14.0,211.0,297.0,8.445497630331754,0.0
S Midhun,0.0,0.0,0.0,0.0,0.0,13.0,29.0,13.384615384615385,0.0
S Nadeem,20.0,39.0,88.0,44.31818181818182,54.0,1444.0,1800.0,7.4792243767313025,0.4431818181818182
S Narwal,4.0,37.0,29.0,127.58620689655173,6.0,113.0,203.0,10.778761061946902,1.2758620689655173
S Rana,8.0,91.0,82.0,110.97560975609757,0.0,16.0,18.0,6.75,1.1097560975609757
S Randiv,1.0,2.0,4.0,50.0,8.0,180.0,223.0,7.433333333333334,0.5
S Sandeep Warrier,0.0,0.0,0.0,0.0,8.0,176.0,257.0,8.761363636363637,0.0
S Sohal,20.0,368.0,311.0,118.32797427652733,0.0,0.0,0.0,0.0,1.21
S Sreesanth,12.0,34.0,57.0,59.64912280701754,43.0,947.0,1221.0,7.736008447729672,0.5964912280701754
S Sriram,2.0,31.0,38.0,81.57894736842105,0.0,18.0,49.0,16.333333333333336,0.8157894736842105
S Tyagi,1.0,3.0,4.0,75.0,6.0,220.0,304.0,8.290909090909091,0.75
S Vidyut,8.0,145.0,115.0,126.08695652173914,1.0,13.0,22.0,10.153846153846153,1.2608695652173914
SA Abbott,3.0,22.0,18.0,122.22222222222223,1.0,59.0,104.0,10.576271186440678,1.2222222222222223
SA Asnodkar,19.0,423.0,352.0,120.17045454545455,0.0,0.0,0.0,0.0,1.1433333333333333
SA Yadav,135.0,3594.0,2522.0,142.50594766058683,0.0,6.0,8.0,8.0,1.6266666666666667
SB Bangar,7.0,49.0,58.0,84.48275862068965,6.0,153.0,221.0,8.666666666666666,0.8448275862068966
SB Dubey,3.0,33.0,21.0,157.14285714285714,0.0,0.0,0.0,0.0,1.5714285714285714
SB Jakati,5.0,28.0,30.0,93.33333333333333,50.0,1101.0,1474.0,8.032697547683924,0.9333333333333333
SB Joshi,2.0,6.0,16.0,37.5,1.0,55.0,82.0,8.945454545454545,0.375
SB Styris,10.0,131.0,134.0,97.76119402985076,9.0,222.0,278.0,7.513513513513514,0.9776119402985075
SB Wagh,2.0,2.0,3.0,66.66666666666666,5.0,108.0,147.0,8.166666666666668,0.6666666666666666
SC Ganguly,56.0,1349.0,1326.0,101.73453996983409,12.0,280.0,370.0,7.928571428571429,0.9333333333333333
SC Kuggeleijn,0.0,0.0,0.0,0.0,2.0,50.0,71.0,8.52,0.0
SD Chitnis,8.0,99.0,92.0,107.6086956521739,2.0,38.0,62.0,9.789473684210526,1.076086956521739
SD Hope,9.0,183.0,125.0,146.4,0.0,0.0,0.0,0.0,1.464
SD Lad,1.0,15.0,13.0,115.38461538461537,0.0,0.0,0.0,0.0,1.1538461538461537
SE Bond,1.0,1.0,2.0,50.0,9.0,191.0,225.0,7.068062827225131,0.5
SE Marsh,69.0,2489.0,1913.0,130.10977522216413,0.0,0.0,0.0,0.0,1.3133333333333332
SE Rutherford,9.0,106.0,107.0,99.06542056074767,1.0,46.0,60.0,7.826086956521739,0.9906542056074766
SH Johnson,3.0,6.0,7.0,85.71428571428571,4.0,99.0,155.0,9.393939393939394,0.8571428571428571
SJ Srivastava,4.0,5.0,5.0,100.0,15.0,306.0,444.0,8.705882352941176,1.0
SK Raina,200.0,5536.0,4177.0,132.53531242518554,30.0,930.0,1139.0,7.348387096774193,1.24
SK Trivedi,14.0,42.0,61.0,68.85245901639344,73.0,1557.0,1944.0,7.491329479768787,0.6885245901639344
SK Warne,27.0,198.0,219.0,90.41095890410958,60.0,1223.0,1465.0,7.187244480784955,0.9041095890410958
SL Malinga,20.0,88.0,103.0,85.43689320388349,188.0,2974.0,3486.0,7.032952252858103,0.8543689320388349
SM Boland,0.0,0.0,0.0,0.0,3.0,43.0,56.0,7.813953488372094,0.0
SM Curran,48.0,883.0,673.0,131.2035661218425,62.0,1234.0,1924.0,9.354943273905995,1.1766666666666667
SM Harwood,2.0,9.0,14.0,64.28571428571429,3.0,67.0,74.0,6.6268656716417915,0.6428571428571429
SM Katich,11.0,241.0,191.0,126.17801047120419,0.0,0.0,0.0,0.0,1.2617801047120418
SM Pollock,8.0,147.0,116.0,126.72413793103448,13.0,280.0,307.0,6.578571428571429,1.2672413793103448
SMSM Senanayake,4.0,10.0,17.0,58.82352941176471,9.0,195.0,211.0,6.492307692307692,0.5882352941176471
SN Khan,36.0,585.0,456.0,128.28947368421052,0.0,2.0,6.0,18.0,1.15
SN Thakur,35.0,307.0,228.0,134.64912280701756,100.0,1979.0,2908.0,8.816574027286508,1.3464912280701755
SO Hetmyer,65.0,1243.0,854.0,145.5503512880562,0.0,0.0,0.0,0.0,1.43
SP Fleming,10.0,196.0,171.0,114.61988304093566,0.0,0.0,0.0,0.0,1.1461988304093567
SP Goswami,21.0,293.0,307.0,95.43973941368078,0.0,0.0,0.0,0.0,0.9633333333333334
SP Jackson,8.0,61.0,57.0,107.01754385964912,0.0,0.0,0.0,0.0,1.0701754385964912
SP Narine,106.0,1534.0,984.0,155.8943089430894,200.0,4146.0,4672.0,6.761215629522431,1.65
SPD Smith,93.0,2495.0,1999.0,124.81240620310155,0.0,2.0,5.0,15.0,1.21
SR Tendulkar,78.0,2334.0,2044.0,114.18786692759295,0.0,37.0,59.0,9.567567567567567,1.1433333333333333
SR Watson,141.0,3880.0,2892.0,134.1632088520055,107.0,2137.0,2742.0,7.698642957416939,1.1966666666666668
SS Agarwal,0.0,0.0,0.0,0.0,1.0,24.0,42.0,10.5,0.0
SS Cottrell,1.0,0.0,2.0,0.0,6.0,131.0,177.0,8.106870229007633,0.0
SS Iyer,114.0,3131.0,2545.0,123.02554027504911,0.0,6.0,7.0,7.0,1.41
SS Mundhe,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.142857142857142,0.0
SS Prabhudessai,10.0,126.0,113.0,111.50442477876106,0.0,0.0,0.0,0.0,1.1150442477876106
SS Sarkar,0.0,0.0,0.0,0.0,1.0,25.0,34.0,8.16,0.0
SS Shaikh,1.0,6.0,7.0,85.71428571428571,0.0,0.0,0.0,0.0,0.8571428571428571
SS Tiwary,73.0,1494.0,1291.0,115.72424477149497,0.0,0.0,0.0,0.0,1.1833333333333333
SSB Magala,0.0,0.0,0.0,0.0,1.0,37.0,52.0,8.432432432432433,0.0
ST Jayasuriya,30.0,768.0,573.0,134.03141361256544,16.0,301.0,396.0,7.893687707641195,1.09
STR Binny,66.0,880.0,700.0,125.71428571428571,28.0,611.0,763.0,7.4926350245499185,1.1666666666666667
SV Samson,162.0,4419.0,3270.0,135.1376146788991,0.0,0.0,0.0,0.0,1.4466666666666668
SW Billings,27.0,503.0,399.0,126.06516290726817,0.0,0.0,0.0,0.0,1.2433333333333334
SW Tait,5.0,23.0,26.0,88.46153846153845,26.0,534.0,668.0,7.50561797752809,0.8846153846153846
SZ Mulani,1.0,1.0,1.0,100.0,0.0,33.0,57.0,10.363636363636363,1.0
Sachin Baby,11.0,144.0,123.0,117.07317073170731,3.0,10.0,8.0,4.800000000000001,1.170731707317073
Salman Butt,7.0,193.0,172.0,112.20930232558139,0.0,0.0,0.0,0.0,1.122093023255814
Sameer Rizvi,5.0,51.0,43.0,118.6046511627907,0.0,0.0,0.0,0.0,1.186046511627907
